Daniel Day-Lewis	Daniel Day-Lewis	male	Sugarloaf Mountain	Wicklow	Ireland	left	married	NA
Tina Fey	Tina Fey	female	Rockerfeller Center	New York City	USA	left	married	NA
Abraham Lincoln	Abraham Lincoln	male	White House	Washington D.C.	USA	moderate	married	NA
John Wilkes Booth	John Wilkes-Booth	male	Ford Theatre	Washington D.C.	USA	right	NA	NA
Adam Sandler	Adam Sandler	male	Beverly Hills	California	USA	left	NA	NA
Adam Smith	Adam Smith	male	Kirkcaldy	Scotland	UK	right	NA	NA
Adam West	Adam West	male	Wayne Mansion	Gotham City	USA	NA	NA	NA
The Joker	Joe Kerr	male	Arkham Asylum	Gotham City	USA	libertarian	dating Harley Quinn	fictional
Al Bundy	Al Bundy	male	Chicago	Illinois	USA	NA	married	NA
Al Capone	Al Capone	male	Chicago	Illinois	USA	right	NA	NA
Eliot Ness	Eliot Ness	male	Chicago	Illinois	USA	right	married	NA
Al Gore	Al Gore	male	Carthage	Tennessee	USA	left	divorced	NA
Al Pacino	Al Pacino	male	Beverly Hills	California	USA	left	NA	NA
Alan Greenspan	Alan Greenspan	male	Federal Reserve	New York City	USA	right	married	NA
Alan Sugar	Alan Sugar	male	Tottenham	London	UK	right	married	NA
Albert Einstein	Albert Einstein	male	Princeton	New Jersey	USA	left	married	NA
Alec Baldwin	Alec Baldwin	male	Rockerfeller Center	New York City	USA	left	married	NA
Alfred Hitchcock	Alfred Hitchcock	male	Bates Motel	California	USA	NA	married	NA
Allan Quatermain	Allan Quatermain	male	Garrick Club	London	UK	NA	NA	fictional
Andrew Lloyd Webber	Andrew Lloyd-Webber	male	The West End	London	UK	right	married	NA
Andy Warhol	Andy Warhol	male	The Factory	New York City	USA	NA	NA	NA
Angelina Jolie	Angelina Jolie	female	Beverly Hills	California	USA	left	married to Brad Pitt	NA
Ann Coulter	Ann Coulter	female	NA	Washington D.C.	USA	right	NA	NA
Anna Karenina	Anna Karenina	female	NA	Moscow	Russia	NA	married	fictional
Emma Bovary	Emma Bovary	female	Rouen	Normandy	France	NA	married	fictional
Anthony Bourdain	Anthony Bourdain	male	JFK Airport	New York City	USA	NA	NA	NA
Anton Chekov	Anton Chekov	male	NA	Moscow	Russia	NA	NA	NA
Antonio Vivaldi	Antonio Vivaldi	male	Hotel Sacher	Vienna	Austria	NA	NA	NA
Archie Bunker	Archie Bunker	male	Jackson Heights	New York City	USA	right	married	fictional
Ariel Sharon	Ariel Sharon	male	Mount of Olives	Tel Aviv	Israel	right	NA	NA
Aristotle	Aristotle	male	The Agora	Athens	Greece	NA	NA	NA
Arnold Schwarzenegger	Arnold Schwarzenegger	male	Sacramento	California	USA	right	divorced from Maria Shriver	NA
Arthur Conan Doyle	Arthur Conan Doyle	male	The Strand	London	UK	NA	married	NA
Atticus Finch	Atticus Finch	male	Maycomb County	Alabama	USA	left	widowed	fictional
Audrey Hepburn	Audrey Hepburn	female	Tiffany's 5th Avenue	New York City	USA	left	married	NA
Aung San Suu Kyi	Aung-San Suu-Kyi	female	NA	Rangoon	Burma	left	NA	NA
Austin Powers	Austin Powers	male	Mayfair	London	UK	NA	single	fictional
Ayn Rand	Ayn Rand	female	Upper East Side	New York City	USA	right	single	NA
Babe Ruth	Babe Ruth	male	Baltimore	Maryland	USA	NA	NA	NA
Barack Obama	Barack Obama	male	White House	Washington D.C.	USA	left	married to Michelle Obama	NA
Barry White	Barry White	male	Galveston	Texas	USA	NA	NA	NA
Bart Simpson	Bart Simpson	male	Springfield	NA	USA	libertarian	single	fictional
Basil Fawlty	Basil Fawlty	male	Fatty Owls Hotel	Torquay	UK	right	married to Cybil Fawlty	fictional
Bear Grylls	Bear Grylls	male	Surbiton	London	UK	NA	married	NA
Ben Affleck	Ben Affleck	male	Falmouth	Massachusetts	USA	left	married to Jennifer Garner	NA
Benedict Arnold	Benedict Arnold	male	Boston	Massachusetts	USA	NA	NA	NA
Benjamin Franklin	Benjamin Franklin	male	Philadelphia	Pennsylvania	USA	NA	NA	NA
Benny Hill	Benny Hill	male	Teddington	London	UK	NA	single	NA
Bertie Wooster	Bertie Wooster	male	Mayfair	London	UK	right	single	fictional
Reginald Jeeves	Reginald Jeeves	male	Mayfair	London	UK	right	single	fictional
Bill Clinton	Bill Clinton	male	Little Rock	Arkansas	USA	left	married to Hillary Clinton	NA
Bill Cosby	Bill Cosby	male	Philadelphia	Pennsylvania	USA	left	married	NA
Bill Gates	Bill Gates	male	Seattle	Washington State	USA	NA	married to Melinda Gates	NA
Bill Murray	Bill Murray	male	Wilmette	Illinois	USA	left	NA	NA
Billy Bob Thornton	Billy-Bob Thornton	male	Hot Springs	Arkansas	USA	left	divorced from Angelina Jolie	NA
Billy Crystal	Billy Crystal	male	East Park Avenue	New York City	USA	left	married	NA
Bing Crosby	Bing Crosby	male	Spokane	Washington State	USA	right	married	NA
Bob Dylan	Bob Dylan	male	Duluth	Minnesota	USA	left	NA	NA
Leonard Cohen	Leonard Cohen	male	Westmount	Quebec	Canada	left	single	NA
Bob Marley	Bob Marley	male	Kingston	Jamaica	Carribean	left	NA	NA
Boba Fett	Boba Fett	male	Sarlaac Pit	NA	Tatooine	right	single	fictional
Bobby Fischer	Bobby Fischer	male	Chicago	Illinois	USA	right	single	NA
Bono	Bono Hewson	male	Howth	Dublin	Ireland	left	married	NA
Brad Pitt	Brad Pitt	male	Beverly Hills	California	USA	left	married to Angelina Jolie	NA
Brian Wilson	Brian Wilson	male	Inglewood	California	USA	NA	NA	NA
Bridget Jones	Bridget Jones	female	Bedale Street	London	UK	left	single	fictional
Britney Spears	Britney Spears	female	McComb	Mississippi	USA	NA	divorced	NA
Bruce Lee	Bruce Lee	male	Chinatown	California	USA	NA	married	NA
Bruce Springsteen	Bruce Springsteen	male	Freehold	New Jersey	USA	left	married	NA
Bruce Wayne	Bruce Wayne	male	Wayne Mansion	Gotham City	USA	right	single	fictional
Commissioner James Gordon	James Gordon	male	Gotham Central	Gotham City	USA	right	married to Barbara Gordon	fictional
Harvey Dent	Harvey Dent	male	Gotham Courthouse	Gotham City	USA	right	divorced from Gilda Dent	fictional
Batman	Bruce Wayne	male	The Batcave	Gotham City	USA	right	dating Catwoman	fictional
Catwoman	Selina Kyle	female	NA	Gotham City	USA	right	dating Batman	fictional
Buck Rogers	Buck Rogers	male	NA	NA	NA	NA	single	fictional
Buddha	Buddha	male	Kapilavastu	Nepal	Indian Sub-continent	left	single	NA
Buzz Aldrin	Buzz Aldrin	male	Montclair	New Jersey	USA	NA	married	NA
Buzz Lightyear	Buzz Lightyear	male	Andy's Room	Everytown	USA	NA	single	fictional
Emperor Caligula	Caligula	male	Capitoline Hill	Rome	Italy	right	single	NA
Cameron Diaz	Cameron Diaz	female	Beverly Hills	California	USA	NA	single	NA
Captain Ahab	Jonas Ahab	male	Lenox	Massachusetts	USA	NA	single	fictional
Cardinal Richelieu	Armand Richelieu	male	Palais Cardinale	Paris	France	right	single	NA
Carl Lewis	Carl Lewis	male	Birmingham	Alabama	USA	NA	NA	NA
Carl Sagan	Carl Sagan	male	Brooklyn	New York City	USA	NA	NA	NA
Stephen Jay Gould	Stephen Jay-Gould	male	Queens	New York City	USA	left	married	NA
Carrie Bradshaw	Carrie Bradshaw	female	Manhattan	New York City	USA	left	married to Mr. Big	fictional
Enrico Caruso	Enrico Caruso	male	Piazza Ottocalli	Naples	Italy	NA	NA	NA
Cary Grant	Cary Grant	male	Beverly Hills	California	USA	NA	married	NA
Giacomo Casanova	Giacomo Casanova	male	Palazzo Malipiero	Venice	Italy	libertarian	single	NA
Charlemagne	Charlemagne	male	NA	NA	Francia	NA	NA	NA
Charles Atlas	Charles Atlas	male	Long Beach	New York City	USA	right	NA	NA
Charles Darwin	Charles Darwin	male	Down House	Downe	UK	left	married	NA
Charles Dickens	Charles Dickens	male	Gads Hill Place	Rochester	UK	left	married	NA
Charles Foster Kane	Charles Fostee-Kane	male	Xanadu Mansion	California	USA	right	married	fictional
Charlie Brown	Charlie Brown	male	Minneapolis	Minnesota	USA	NA	single	fictional
Charlie Chaplin	Charlie Chaplin	male	Walworth	London	UK	left	married	NA
Charlie Parker	Charlie Parker	male	151 Avenue B 	New York City	USA	NA	NA	NA
Che Guevara	Che Guevara	male	Rosario	Buenos Aires	South America	left	NA	NA
Christian Bale	Christian Bale	male	Beverly Hills	California	USA	NA	NA	NA
Christopher Columbus	Christopher Columbus	male	NA	Genoa	Italy	NA	NA	NA
Christopher Hitchens	Christopher Hitchens	male	NA	Washington D.C.	USA	left	married	NA
Chuck Norris	Chuck Norris	male	Navasota	Texas	USA	right	married	NA
Cicero	Cicero	male	NA	Rome	Italy	NA	married	NA
Clark Gable	Clark Gable	male	Beverly Hills	California	USA	NA	married	NA
Clark Kent	Clark Kent	male	The Daily Planet	Metropolis	USA	NA	married to Lois Lane	fictional
Cleopatra	Cleopatra	female	Alexandria	Egypt	NA	NA	married to Julius Caesar	NA
Julius Caesar	Julius Caesar	male	Role	Italy	NA	NA	married to Cleopatra	NA
Clint Eastwood	Clint Eastwood	male	Carmel	California	USA	right	married	NA
Colin Farrell	Colin Farrell	male	Castleknock	Dublin	Ireland	NA	single	NA
Colonel Sanders	Colonel Sanders	male	Louisville	Kentucky	USA	right	married	NA
Confucius	Confucius	male	NA	Shandong	China	NA	married	NA
Copernicus	Copernicus	male	NA	Torun	Poland	NA	single	NA
Cosmo Kramer	Cosmo Kramer	male	Manhattan	New York City	USA	NA	single	fictional
Courtney Love	Courtney Love	female	San Francisco	California	USA	left	widowed by Kurt Cobain	NA
Croesus	Croesus	male	NA	NA	Lydia	right	NA	NA
Herodotus	Herodotus	male	Halicarnassus	Turkey	NA	NA	NA	NA
Daffy Duck	Daffy Duck	male	Duckberg	California	USA	NA	single	fictional
Dame Edna Everage	Edna Everage	female	Moonee Ponds	Melbourne	Australia	NA	married	NA
Dan Brown	Dan Brown	male	Boston	Massachusetts	USA	NA	married	NA
Robert Langdon	Robert Langdon	male	Cambridge	Massachusetts	USA	NA	single	fictional
Dan Quayle	Dan Quayle	male	Indianapolis	Indiana	USA	right	married	NA
Daniel Craig	Daniel Craig	male	NA	Warwickshire	USA	left	married	NA
Daniel Boone	Daniel Boone	male	Defiance	Missouri	USA	NA	NA	NA
Dante Alighieri	Dante Alighieri	male	NA	Florence	Italy	NA	single	NA
Darth Maul	Darth Maul	male	NA	NA	Dathomir	right	single	fictional
Darth Vader	Darth Vader	male	NA	NA	Tatooine	right	single	fictional
Davy Crockett	Davy Crockett	male	NA	Tennessee	USA	libertarian	married	NA
David Beckham	David Beckham	male	Leytonstone	London	UK	NA	married to Posh Spice	NA
David Blaine	David Blaine	male	Manhattan	New York City	USA	NA	NA	NA
David Bowie	David Bowie	male	West Berlin	Berlin	East Germany	left	married to Iman	NA
David Byrne	David Byrne	male	Dumbarton	Scotland	UK	left	NA	NA
David Caruso	David Caruso	male	Forest Hills	New York City	USA	NA	NA	NA
David Hasselhoff	David Hasselhoff	male	Malibu	California	USA	NA	divorced	NA
David Lee Roth	David Lee-Roth	male	Bloomington	Indiana	USA	NA	NA	NA
David Letterman	David Letterman	male	Indianapolis	Indiana	USA	NA	married	NA
David Lynch	David Lynch	male	Missoula	Montana	USA	NA	NA	NA
Dalton Trumbo	Dalton Trumbo	male	Beverly Hills	California	USA	left	married	NA
David Mamet	David Mamet	male	Chicago	Illinois	USA	NA	married	NA
Dean Martin	Dean Martin	male	Steubenville	Ohio	USA	NA	married	NA
Deepak Chopra	Deepak Chopra	male	New Delhi	NA	India	NA	NA	NA
Dexter Morgan	Dexter Morgan	male	Miami	Florida	USA	NA	widowed	fictional
Dian Fossey	Dian Fossey	female	NA	NA	Rwanda	NA	single	NA
Dick Cheney	Dick Cheney	male	Lincoln	Nebraska	USA	right	married	NA
Dolly Parton	Dolly Parton	female	Locust Ridge	Tennessee	USA	NA	NA	NA
Don Vito Corleone	Vito Corleone	male	Long Beach	New York	USA	right	married	fictional
Don King	Don King	male	Cleveland	Ohio	USA	right	NA	NA
Donald Duck	Donald Duck	male	Duckberg	California	USA	NA	dating Daisy Duck	fictional
Donald Trump	Donald Trump	male	Trump Tower	New York City	USA	right	divorced from Ivana Trump	NA
Dorian Gray	Dorian Gray	male	Mayfair	London	UK	libertarian	single	fictional
Christian Grey	Christian Grey	male	Manhattan	New York City	USA	libertarian	dating Anastasia Steele	fictional
Doris Day	Doris Day	female	Carmel-by-the-Sea	California	USA	right	married	NA
Dorothy Parker	Dorothy Parker	female	Manhattan	New York City	USA	left	married	NA
Dr. John Watson	John Watson	male	221B Baker Street	London	UK	NA	married	fictional
Professor James Moriarty	James Moriarty	male	The Reichenback Falls	Bernese Oberland	Switzerland	libertarian	single	fictional
Eddie Murphy	Eddie Murphy	male	Beverly Hills	California	USA	NA	NA	NA
Eddie Van Halen	Eddie Van-Halen	male	NA	Nijmegen	Holland	NA	NA	NA
Eddy Merckx	Eddy Merckx	male	Tielt-Winge	Brussels	Belgium	NA	NA	NA
Edith Piaf	Edith Piaf	female	Belleville	Paris	France	NA	NA	NA
Edward Hopper	Edward Hopper	male	Nyack	New York	USA	NA	NA	NA
Elizabeth Taylor	Elizabeth Taylor	female	Bel Air	California	USA	NA	divorced from Richard Burton	NA
Elmer Fudd	Elmer Fudd	male	Toontown	NA	USA	NA	NA	fictional
Elmore Leonard	Elmore Leonard	male	Detroit	Michigan	USA	NA	NA	NA
Elvis Presley	Elvis Presley	male	Tupelo	Mississippi	USA	NA	married to Priscilla Presley	NA
Emily Dickinson	Emily Dickinson	female	Amherst	Massachusetts	USA	NA	NA	NA
Eminem	Eminem	male	Rochester Hills	Michigan	USA	NA	NA	NA
Emperor Constantine	Constantine	male	Capitoline Hill	Rome	Italy	right	NA	NA
Ming The Merciless	Ming	male	NA	NA	Mongo	right	single	fictional
Emperor Palpatine	Sheev Palpatine	male	NA	NA	Naboo	right	single	fictional
Erasmus	Erasmus	male	NA	Rotterdam	Holland	left	NA	NA
Eric Clapton	Eric Clapton	male	Ripley	Surrey	UK	NA	NA	NA
Ernest Hemingway	Ernest Hemingway	male	Key West	Florida	USA	NA	NA	NA
Errol Flynn	Errol Flynn	male	Hobart	Tasmania	Australia	NA	NA	NA
Euclid	Euclid	male	NA	Alexandria	Egypt	NA	NA	NA
Evel Knievel	Evel Knievel	male	Butte	Montana	USA	NA	NA	NA
Federico Fellini	Federico Fellini	male	NA	Rimini	Italy	left	NA	NA
Fidel Castro	Fidel Castro	male	NA	Havana	Cuba	left	NA	NA
Flash Gordon	Flash Gordon	male	NA	NA	Mongo	NA	dating Dale Arden	fictional
Florence Nightingale	Florence Nightingale	female	Villa Colombaia	Florence	Italy	NA	NA	NA
Forrest Gump	Forrest Gump	male	Greenbow	Alabama	USA	NA	married to Jenny Gump	fictional
Francis Bacon	Francis Bacon	male	Soho	London	UK	NA	NA	NA
Francis Crick	Francis Crick	male	NA	Cambridge	UK	NA	married	NA
Frank Capra	Frank Capra	male	La Quinta	California	USA	right	married	NA
Frank Columbo	Frank Columbo	male	Los Angeles	California	USA	NA	married to Mrs. Columbo	fictional
Frank Gehry	Frank Gehry	male	NA	Toronto	Canada	NA	NA	NA
Frank Lloyd Wright	Frank Lloyd-Wright	male	Taliesin	Arizona	USA	NA	NA	NA
Frank Sinatra	Frank Sinatra	male	Hoboken	New Jersey	USA	right	divorced from Mia Farrow	NA
Frank Zappa	Frank Zappa	male	Los Angeles	California	USA	left	married	NA
Franz Liszt	Franz Liszt	male	NA	Raiding	Austria	NA	single	NA
Fred Astaire	Fred Astaire	male	Beverly Hills	California	USA	left	dating Ginger Rogers	NA
Fredo Corleone	Fredo Corleone	male	Long Beach	New York	USA	right	married	fictional
Garry Kasparov	Garry Kasparov	male	NA	Baku	Azerbaijan	NA	NA	NA
Garry Trudeau	Garry Trudeau	male	Manhattan	New York City	USA	left	NA	NA
Garth Brooks	Garth Brooks	male	Nashville	Tennessee	USA	right	married	NA
Gary Larson	Gary Larson	male	Tacoma	Washington State	USA	left	NA	NA
Genghis Khan	Genghis Khan	male	NA	Ulan Bator	Mongolia	right	NA	NA
George Bernard Shaw	George Bernard-Shaw	male	Belgravia	London	UK	left	married	NA
George Clooney	George Clooney	male	Beverly Hills	California	USA	left	single	NA
George Costanza	George Costanza	male	Upper East Side	New York City	USA	NA	single	fictional
George Foreman	George Foreman	male	Houston	Texas	USA	NA	NA	NA
George Harrison	George Harrison	male	NA	Liverpool	UK	left	NA	NA
George Orwell	George Orwell	male	NA	London	UK	left	married	NA
George Soros	George Soros	male	NA	Budapest	Hungary	right	married	NA
George W. Bush	George Bush	male	Crawford	Texas	USA	right	married to Laura Bush	NA
George Washington	George Washington	male	Mount Vernon	Virginia	USA	right	married to Martha Washington	NA
Gerard Manley Hopkins	Gerard Manley-Hopkins	male	Stratford	London	USA	left	single	NA
Megyn Kelly	Megyn Kelly	female	Syracuse	New York	USA	right	Douglas Brunt	NA
Bill O'Reilly	Bill O'Reilly	male	Manhattan	New York City	USA	right	divorced from Maureen McPhilmy	NA
Glenn Beck	Glenn Beck	male	New Canaan	Connecticut	USA	right	NA	NA
Gloria Steinem	Gloria Steinem	female	Manhattan	New York City	USA	left	NA	NA
Mikhail Gorbachev	Mikhail Gorbachev	male	NA	Moscow	Russia	left	married	NA
Gordon Ramsay	Gordon Ramsay	male	Chelsea	London	UK	NA	married	NA
Grace Kelly	Grace Kelly	female	Monte Carlo	Monaco	France	NA	married to Prince Rainier	NA
Greta Garbo	Greta Garbo	female	NA	Stockholm	Sweden	NA	single	NA
Groucho Marx	Groucho Marx	male	Beverly Hills	California	USA	NA	married	NA
Gwyneth Paltrow	Gwyneth Paltrow	female	Kensington	London	UK	left	divorced from Chris Martin	NA
H.P. Lovecraft	Howard Lovecraft	male	Providence	Rhode Island	USA	right	single	NA
Han Solo	Han Solo	male	NA	NA	Corellia	libertarian	dating Princess Leia	fictional
Jabba the Hutt	Jabba Hutt	male	NA	Northern Dune Sea	Tatooine	libertarian	pursuing Princess Leia	fictional
Hannibal Lecter	Hannibal Lecter	male	NA	NA	Lithuania	right	single	fictional
Harry Houdini	Harry Houdini	male	NA	Budapest	Hungary	right	married	NA
Harry Potter	Harry Potter	male	Hogwarts	Scotland	UK	left	single	fictional
Lord Voldemort	Tom Voldemort	male	Hogwarts	Scotland	UK	right	dating Merope Gaunt	fictional
Albus Dumbledore	Albus Dumbledore	male	Hogwarts	Scotland	UK	left	dating Gellert Grindelwald	fictional
Heath Ledger	Heath Ledger	male	Brokeback Mountain	NA	USA	NA	dating Michelle Williams	NA
Helen Keller	Helen Keller	female	Tuscumbia	Alabama	USA	NA	single	NA
Henry Ford	Henry Ford	male	Dearborn	Michigan	USA	right	married	NA
Henry James	Henry James	male	Manhattan	New York City	USA	NA	NA	NA
Henry Kissinger	Henry Kissinger	male	NA	Fürth	Germany	right	NA	NA
Henry Miller	Henry Miller	male	Yorkville	New York City	USA	left	NA	NA
Hercule Poirot	Hercule Poirot	male	NA	London	UK	NA	single	fictional
Hillary Clinton	Hillary Clinton	female	Chappaqua	New York	USA	left	married to Bill Clinton	NA
Homer	Homer	male	NA	NA	Greece	NA	NA	NA
Homer Simpson	Homer Simpson	male	Springfield	NA	USA	NA	married to Marge Simpson	fictional
O.J. Simpson	Orenthal Simspon	male	Los Angeles	California	USA	right	married to Nicole Simpson	NA
Mark Fuhrman	Mark Fuhrman	male	Los Angeles	California	USA	right	married	NA
Howard Hughes	Howard Hughes	male	Houston	Texas	USA	right	single	NA
Howard Stern	Howard Stern	male	Manhattan	New York City	USA	left	divorced	NA
Hugh Grant	Hugh Grant	male	Notting Hill	London	USA	left	dating Jemima Khan	NA
Hugh Hefner	Hugh Hefner	male	Playboy  Mansion	Los Angeles	USA	libertarian	single	NA
Hugh Jackman	Hugh Jackman	male	NA	Sydney	Australia	NA	married	NA
Hulk Hogan	Hulk Hogan	male	Clearwater	Florida	USA	right	NA	NA
Humphrey Bogart	Humphrey Bogart	male	Beverly Hills	California	USA	NA	married to Lauren Bacall	NA
Imelda Marcos	Imelda Marcos	female	NA	Manila	Philippines	right	married to Ferdinand Marcos	NA
Indiana Jones	Indiana Jones	male	New Haven	Connecticut	USA	left	dating Marion Ravenwood	fictional
Jack Bauer	Jack Bauer	male	Los Angeles	California	USA	right	widowed	fictional
Jack Kerouac	Jack Kerouac	male	Lowell	Massachusetts	USA	left	NA	NA
Jack Nicholson	Jack Nicholson	male	Beverly Hills	California	USA	libertarian	single	NA
Jack The Ripper	Jack D.-Ripper	male	Whitechapel	London	USA	libertarian	single	NA
Jackie Chan	Jackie Chan	male	NA	Hong Kong	China	right	NA	NA
Jackson Pollock	Jackson Pollock	male	Springs	New York	USA	NA	dating Lee Krasner	NA
James Bond	James Bond	male	Mayfair	London	USA	right	single	fictional
Auric Goldfinger	Auric Goldfinger	male	Fort Knox	Kentucky	USA	right	single	fictional
Ernst Stavro Blofeld	Ernst-Stavro Blofeld	male	NA	Gdingen	Germany	right	single	fictional
Dr. Julius No	Julius No	male	NA	Peking	China	right	single	fictional
Sir Hugo Drax	Hugo Drax	male	NA	Berlin	Germany	right	single	fictional
Le Chiffre	Lee Chiffre	male	NA	Marseille	France	right	single	fictional
James Dean	James Dean	male	Marion	Indiana	USA	NA	single	NA
James Franco	James Franco	male	Palo Alto	California	USA	left	single	NA
James Joyce	James Joyce	male	Dorset Street	Dublin	Ireland	left	married to Nora Barnacle	NA
James T. Kirk	James Kirk	male	Riverside	Iowa	USA	NA	single	fictional
Jamie Oliver	Jamie Oliver	male	Hoxton	London	UK	NA	married to Jules Oliver	NA
Jane Austen	Jane Austen	female	NA	Winchester	UK	NA	single	NA
Janis Joplin	Janis Joplin	female	Port Arthur	Texas	USA	left	single	NA
Jar Jar Binks	Jar-Jar Binks	male	Theed	NA	Naboo	NA	single	fictional
Jason Bourne	Jason Bourne	male	Nixa	Missouri	USA	left	single	fictional
Jay Leno	Jay Leno	male	New Rochelle	New York	USA	moderate	married	NA
Jay-Z Carter	Jay-Z Carter	male	Brooklyn	New York City	USA	left	married to Beyoncé	NA
JD Salinger	JD Salinger	male	Cornish	New Hampshire	USA	NA	NA	NA
Beyoncé	Beyoncé	female	Houston	Texas	USA	NA	married to Jay-Z Carter	NA
Jeff Koons	Jeff Koons	male	York	Pennsylvania	USA	libertarian	NA	NA
Jenna Jameson	Jenna Jameson	female	Las Vegas	Nevada	USA	libertarian	NA	NA
Jeremy Clarkson	Jeremy Clarkson	male	Chipping Norton	Cotswolds	UK	right	married	NA
Piers Morgan	Piers Morgan	male	Manhattan	New York City	USA	left	married	NA
Jerry Lee Lewis	Jerry Lee-Lewis	male	Ferriday	Louisiana	USA	libertarian	married	NA
Jerry Lewis	Jerry Lewis	male	Newark	New Jersey	USA	left	NA	NA
Jerry Seinfeld	Jerry Seinfeld	male	Brooklyn	New York City	USA	NA	married	NA
Jerry Springer	Jerry Springer	male	Highgate	London	UK	left	married	NA
Jesse Jackson	Jesse Jackson	male	Greenville	South Carolina	USA	left	married	NA
Jim Jones	Jim Jones	male	Jonestown	Guyana	South America	right	single	NA
Jim Morrison	Jim Morrison	male	Fictional Place	Paris	France	left	dating Pamela Courson	NA
Jimi Hendrix	Jimi Hendrix	male	Seattle	Washington State	USA	left	single	NA
Jimmy Cagney	Jimmy Cagney	male	Stanfordville	New York	USA	NA	married	NA
Jimmy Carter	Jimmy Carter	male	Plains	Georgia	USA	left	married	NA
Jimmy Stewart	Jimmy Stewart	male	Beverly Hills	California	USA	moderate	married	NA
Joan Rivers	Joan Rivers	female	Manhattan	New York City	USA	libertarian	married	NA
Joaquin Phoenix	Joaquin Phoenix	male	Río Piedras	Puerto Rico	USA	NA	NA	NA
Joe Biden	Joe Biden	male	Claymont	Delaware	USA	left	widowed	NA
Joe Louis	Joe Louis	male	La Fayette	Alabama	USA	NA	NA	NA
Johann Sebastian Bach	Johann-Sebastian Bach	male	NA	Leipzig	Germany	right	married	NA
John Belushi	John Belushi	male	Humboldt Park	Illinois	USA	libertarian	single	NA
John Dillinger	John Dillinger	male	Indianapolis	Indiana	USA	libertarian	single	NA
J. Edgar Hoover	J.-Edgar Hoover	male	NA	Washington D.C.	USA	right	dating Clyde Tolson	NA
John Grisham	John Grisham	male	Jonesboro	Arkansas	USA	right	NA	NA
